"delta","S","v_star"
0.13,45,-7.49920248082094
0.13,46,-7.49920607467315
0.13,47,-7.49920951557607
0.13,48,-7.49921281309021
0.13,49,-7.49921597599555
0.13,50,-7.49921901236959
0.13,51,-7.4992219296562
0.13,52,-7.49922473472661
0.13,53,-7.4992274339334
0.13,54,-7.49923003315851
0.13,55,-7.4992325378561
0.13,56,-7.49923495309068
0.13,57,-7.49923728357131
0.13,58,-7.49923953368227
0.13,59,-7.49924170751058
0.13,60,-7.49924380887074
0.13,61,-7.4992458413271
0.13,62,-7.49924780821405
0.13,63,-7.49924971265423
0.13,64,-7.49925155757511
0.13,65,-7.49925334572398
0.13,66,-7.49925507968163
0.13,67,-7.49925676187473
0.13,68,-7.49925839458723
0.13,69,-7.49925997997064
0.13,70,-7.49926152005352
0.13,71,-7.49926301675013
0.13,72,-7.4992644718684
0.13,73,-7.49926588711715
0.13,74,-7.49926726411285
0.13,75,-7.49926860438575
0.13,76,-7.49926990938554
0.13,77,-7.49927118048661
0.13,78,-7.49927241899285
0.13,79,-7.49927362614213
0.13,80,-7.49927480311043
0.13,81,-7.49927595101564
0.13,82,-7.49927707092113
0.13,83,-7.499278163839
0.13,84,-7.49927923073317
0.13,85,-7.49928027252219
0.13,86,-7.49928129008188
0.13,87,-7.49928228424778
0.13,88,-7.49928325581748
0.13,89,-7.49928420555268
0.13,90,-7.49928513418126
0.13,91,-7.49928604239908
0.13,92,-7.49928693087175
0.13,93,-7.49928780023627
0.13,94,-7.49928865110248
0.13,95,-7.4992894840546
0.13,96,-7.49929029965248
0.13,97,-7.49929109843287
0.13,98,-7.49929188091062
0.13,99,-7.49929264757979
0.13,100,-7.49929339891467
0.13,101,-7.49929413537074
0.13,102,-7.49929485738566
0.13,103,-7.49929556538006
0.13,104,-7.4992962597584
0.13,105,-7.49929694090973
0.13,106,-7.49929760920843
0.13,107,-7.49929826501487
0.13,108,-7.49929890867607
0.13,109,-7.49929954052633
0.13,110,-7.49930016088778
0.13,111,-7.49930077007095
0.13,112,-7.49930136837526
0.13,113,-7.49930195608956
0.13,114,-7.49930253349254
0.13,115,-7.49930310085321
0.13,116,-7.4993036584313
0.13,117,-7.49930420647765
0.13,118,-7.49930474523461
0.13,119,-7.49930527493638
0.13,120,-7.49930579580935
0.13,121,-7.49930630807242
0.13,122,-7.49930681193733
0.13,123,-7.49930730760891
0.13,124,-7.4993077952854
0.13,125,-7.4993082751587
0.13,126,-7.49930874741461
0.13,127,-7.49930921223306
0.13,128,-7.49930966978838
0.13,129,-7.4993101202495
0.13,130,-7.49931056378013
0.13,131,-7.49931100053899
0.13,132,-7.49931143067999
0.13,133,-7.49931185435241
0.13,134,-7.49931227170109
0.13,135,-7.49931268286654
0.13,136,-7.49931308798519
0.13,137,-7.49931348718943
0.13,138,-7.49931388060785
0.13,139,-7.49931426836534
0.13,140,-7.4993146505832
0.13,141,-7.4993150273793
0.13,142,-7.49931539886818
0.13,143,-7.4993157651612
0.13,144,-7.49931612636661
0.13,145,-7.49931648258967
0.13,146,-7.49931683393276
0.13,147,-7.49931718049548
0.13,148,-7.49931752237473
0.13,149,-7.49931785966482
0.13,150,-7.49931819245752
0.13,151,-7.4993185208422
0.13,152,-7.49931884490586
0.13,153,-7.49931916473323
0.13,154,-7.49931948040683
0.13,155,-7.49931979200707
0.13,156,-7.49932009961228
0.13,157,-7.49932040329881
0.13,158,-7.49932070314106
0.13,159,-7.49932099921156
0.13,160,-7.49932129158105
0.13,161,-7.49932158031848
0.13,162,-7.49932186549112
0.13,163,-7.49932214716458
0.13,164,-7.49932242540288
0.13,165,-7.49932270026847
0.13,166,-7.4993229718223
0.13,167,-7.49932324012388
0.13,168,-7.49932350523128
0.13,169,-7.4993237672012
0.13,170,-7.49932402608901
0.13,171,-7.49932428194879
0.13,172,-7.49932453483336
0.13,173,-7.4993247847943
0.13,174,-7.49932503188203
0.13,175,-7.4993252761458
0.13,176,-7.49932551763376
0.13,177,-7.49932575639294
0.13,178,-7.49932599246935
0.13,179,-7.49932622590794
0.13,180,-7.49932645675269
0.13,181,-7.49932668504658
0.13,182,-7.49932691083167
0.13,183,-7.49932713414908
0.13,184,-7.49932735503904
0.13,185,-7.49932757354093
0.13,186,-7.49932778969326
0.13,187,-7.49932800353373
0.13,188,-7.49932821509923
0.13,189,-7.49932842442587
0.13,190,-7.499328631549
0.13,191,-7.49932883650323
0.13,192,-7.49932903932246
0.13,193,-7.49932924003987
0.13,194,-7.49932943868797
0.13,195,-7.49932963529858
0.13,196,-7.49932982990291
0.13,197,-7.49933002253149
0.13,198,-7.49933021321428
0.13,199,-7.49933040198059
0.13,200,-7.49933058885919
0.14,2,-6.92929382516471
0.14,3,-6.93133791991059
0.14,4,-6.93235701219894
0.14,5,-6.93296769184758
0.14,6,-6.93337448872588
0.14,7,-6.93366489987981
0.14,8,-6.93388262185431
0.14,9,-6.93405190999065
0.14,10,-6.93418730826659
0.14,11,-6.93429806736749
0.14,12,-6.93439035197238
0.14,13,-6.93446842854781
0.14,14,-6.9345353437414
0.14,15,-6.93459333124602
0.14,16,-6.93464406599923
0.14,17,-6.93468882861498
0.14,18,-6.93472861497591
0.14,19,-6.93476421120013
0.14,20,-6.93479624610729
0.14,21,-6.93482522868762
0.14,22,-6.9348515753476
0.14,23,-6.93487563004524
0.14,24,-6.93489767938947
0.14,25,-6.93491796411435
0.14,26,-6.93493668790435
0.14,27,-6.93495402425783
0.14,28,-6.93497012187925
0.14,29,-6.93498510895537
0.14,30,-6.93499909657598
0.14,31,-6.93501218149227
0.14,32,-6.93502444835795
0.14,33,-6.93503597156271
0.14,34,-6.93504681674207
0.14,35,-6.9350570420283
0.14,36,-6.93506669909283
0.14,37,-6.93507583401953
0.14,38,-6.93508448804015
0.14,39,-6.93509269815648
0.14,40,-6.93510049766928
0.14,41,-6.93510791662968
0.14,42,-6.93511498222616
0.14,43,-6.93512171911748
0.14,44,-6.9351281497202
0.14,45,-6.93513429445787
0.14,46,-6.93514017197774
0.14,47,-6.93514579933971
0.14,48,-6.93515119218175
0.14,49,-6.93515636486502
0.14,50,-6.93516133060155
0.14,51,-6.93516610156696
0.14,52,-6.9351706890001
0.14,53,-6.93517510329145
0.14,54,-6.93517935406171
0.14,55,-6.93518345023174
0.14,56,-6.93518740008511
0.14,57,-6.93519121132398
0.14,58,-6.93519489111924
0.14,59,-6.93519844615555
0.14,60,-6.93520188267185
0.14,61,-6.93520520649789
0.14,62,-6.93520842308727
0.14,63,-6.93521153754727
0.14,64,-6.93521455466591
0.14,65,-6.93521747893654
0.14,66,-6.93522031458012
0.14,67,-6.93522306556559
0.14,68,-6.93522573562839
0.14,69,-6.93522832828739
0.14,70,-6.93523084686034
0.14,71,-6.93523329447806
0.14,72,-6.93523567409741
0.14,73,-6.93523798851321
0.14,74,-6.93524024036917
0.14,75,-6.93524243216802
0.14,76,-6.93524456628073
0.14,77,-6.93524664495508
0.14,78,-6.93524867032359
0.14,79,-6.93525064441076
0.14,80,-6.93525256913988
0.14,81,-6.93525444633924
0.14,82,-6.93525627774793
0.14,83,-6.93525806502122
0.14,84,-6.93525980973557
0.14,85,-6.93526151339321
0.14,86,-6.93526317742653
0.14,87,-6.93526480320202
0.14,88,-6.93526639202407
0.14,89,-6.93526794513843
0.14,90,-6.93526946373548
0.14,91,-6.93527094895329
0.14,92,-6.93527240188041
0.14,93,-6.93527382355859
0.14,94,-6.93527521498523
0.14,95,-6.93527657711574
0.14,96,-6.93527791086572
0.14,97,-6.935279217113
0.14,98,-6.93528049669958
0.14,99,-6.93528175043344
0.14,100,-6.93528297909023
0.14,101,-6.9352841834149
0.14,102,-6.93528536412315
0.14,103,-6.93528652190291
0.14,104,-6.93528765741563
0.14,105,-6.93528877129758
0.14,106,-6.935289864161
0.14,107,-6.93529093659525
0.14,108,-6.93529198916786
0.14,109,-6.93529302242552
0.14,110,-6.93529403689505
0.14,111,-6.93529503308428
0.14,112,-6.9352960114829
0.14,113,-6.93529697256328
0.14,114,-6.93529791678119
0.14,115,-6.93529884457656
0.14,116,-6.93529975637414
0.14,117,-6.93530065258417
0.14,118,-6.93530153360298
0.14,119,-6.93530239981356
0.14,120,-6.93530325158615
0.14,121,-6.93530408927875
0.14,122,-6.93530491323761
0.14,123,-6.93530572379774
0.14,124,-6.9353065212833
0.14,125,-6.93530730600812
0.14,126,-6.93530807827606
0.14,127,-6.93530883838138
0.14,128,-6.93530958660917
0.14,129,-6.93531032323568
0.14,130,-6.93531104852864
0.14,131,-6.93531176274762
0.14,132,-6.93531246614432
0.14,133,-6.93531315896287
0.14,134,-6.93531384144011
0.14,135,-6.93531451380586
0.14,136,-6.93531517628319
0.14,137,-6.93531582908864
0.14,138,-6.93531647243249
0.14,139,-6.93531710651896
0.14,140,-6.93531773154644
0.14,141,-6.93531834770768
0.14,142,-6.93531895519001
0.14,143,-6.93531955417552
0.14,144,-6.93532014484124
0.14,145,-6.93532072735931
0.14,146,-6.93532130189716
0.14,147,-6.93532186861766
0.14,148,-6.93532242767928
0.14,149,-6.93532297923624
0.14,150,-6.93532352343864
0.14,151,-6.93532406043261
0.14,152,-6.93532459036042
0.14,153,-6.93532511336065
0.14,154,-6.93532562956824
0.14,155,-6.93532613911467
0.14,156,-6.93532664212807
0.14,157,-6.93532713873326
0.14,158,-6.93532762905193
0.14,159,-6.9353281132027
0.14,160,-6.93532859130123
0.14,161,-6.93532906346029
0.14,162,-6.93532952978989
0.14,163,-6.93532999039731
0.14,164,-6.93533044538725
0.14,165,-6.93533089486184
0.14,166,-6.93533133892076
0.14,167,-6.93533177766131
0.14,168,-6.93533221117846
0.14,169,-6.93533263956494
0.14,170,-6.93533306291129
0.14,171,-6.93533348130596
0.14,172,-6.93533389483529
0.14,173,-6.93533430358368
0.14,174,-6.93533470763356
0.14,175,-6.93533510706547
0.14,176,-6.93533550195813
0.14,177,-6.9353358923885
0.14,178,-6.93533627843176
0.14,179,-6.93533666016147
0.14,180,-6.93533703764951
0.14,181,-6.9353374109662
0.14,182,-6.93533778018028
0.14,183,-6.93533814535903
0.14,184,-6.93533850656825
0.14,185,-6.93533886387229
0.14,186,-6.93533921733416
0.14,187,-6.9353395670155
0.14,188,-6.93533991297663
0.14,189,-6.93534025527662
0.14,190,-6.93534059397327
0.14,191,-6.93534092912318
0.14,192,-6.93534126078177
0.14,193,-6.93534158900331
0.14,194,-6.93534191384096
0.14,195,-6.93534223534678
0.14,196,-6.93534255357177
0.14,197,-6.9353428685659
0.14,198,-6.9353431803781
0.14,199,-6.93534348905638
0.14,200,-6.93534379464772
0.15,2,-6.43540250043014
0.15,3,-6.4385422117969
0.15,4,-6.44010623199677
0.15,5,-6.44104146814141
0.15,6,-6.44166421870827
0.15,7,-6.44210867833237
0.15,8,-6.44244182509558
0.15,9,-6.44270082199449
0.15,10,-6.4429079456733
0.15,11,-6.44307736169576
0.15,12,-6.44321850816865
0.15,13,-6.44333791598477
0.15,14,-6.44344024816931
0.15,15,-6.44352892309324
0.15,16,-6.44360650377392
0.15,17,-6.44367494966042
0.15,18,-6.44373578442402
0.15,19,-6.44379021072252
0.15,20,-6.44383919051081
0.15,21,-6.44388350238993
0.15,22,-6.4439237833054
0.15,23,-6.44396055936098
0.15,24,-6.44399426892437
0.15,25,-6.44402528018449
0.15,26,-6.44405390465472
0.15,27,-6.44408040767399
0.15,28,-6.44410501665633
0.15,29,-6.44412792763294
0.15,30,-6.44414931048507
0.15,31,-6.44416931316376
0.15,32,-6.44418806511792
0.15,33,-6.4442056800989
0.15,34,-6.44422225846993
0.15,35,-6.44423788911949
0.15,36,-6.44425265105566
0.15,37,-6.44426661474178
0.15,38,-6.44427984322125
0.15,39,-6.44429239306911
0.15,40,-6.44430431520087
0.15,41,-6.44431565556294
0.15,42,-6.44432645572441
0.15,43,-6.4443367533862
0.15,44,-6.44434658282074
0.15,45,-6.44435597525308
0.15,46,-6.4443649591922
0.15,47,-6.44437356072004
0.15,48,-6.44438180374441
0.15,49,-6.44438971022088
0.15,50,-6.4443973003481
0.15,51,-6.44440459274003
0.15,52,-6.44441160457843
0.15,53,-6.44441835174796
0.15,54,-6.44442484895633
0.15,55,-6.44443110984132
0.15,56,-6.44443714706633
0.15,57,-6.44444297240588
0.15,58,-6.44444859682226
0.15,59,-6.44445403053438
0.15,60,-6.44445928307971
0.15,61,-6.44446436337018
0.15,62,-6.44446927974261
