delta,S,nu_min
0.060000000000000005,74,-16.576879167425588
0.060000000000000005,76,-16.57687916807219
0.060000000000000005,78,-16.576879168685597
0.060000000000000005,80,-16.576879169268366
0.060000000000000005,82,-16.576879169822682
0.060000000000000005,84,-16.576879170350608
0.060000000000000005,86,-16.576879170853978
0.060000000000000005,88,-16.576879171334472
0.060000000000000005,90,-16.57687917179361
0.060000000000000005,92,-16.57687917223278
0.060000000000000005,94,-16.576879172653264
0.060000000000000005,96,-16.576879173056227
0.060000000000000005,98,-16.576879173442773
0.060000000000000005,100,-16.576879173813825
0.060000000000000005,102,-16.576879174170333
0.060000000000000005,104,-16.57687917451311
0.060000000000000005,106,-16.576879174843
0.060000000000000005,108,-16.576879175160617
0.060000000000000005,110,-16.57687917546671
0.060000000000000005,112,-16.576879175761864
0.060000000000000005,114,-16.576879176046678
0.060000000000000005,116,-16.576879176321665
0.060000000000000005,118,-16.57687917658731
0.060000000000000005,120,-16.576879176844148
0.060000000000000005,122,-16.576879177092504
0.060000000000000005,124,-16.576879177332884
0.060000000000000005,126,-16.57687917756563
0.060000000000000005,128,-16.576879177791106
0.060000000000000005,130,-16.576879178009616
0.060000000000000005,132,-16.57687917822151
0.060000000000000005,134,-16.576879178427166
0.060000000000000005,136,-16.576879178626697
0.060000000000000005,138,-16.57687917882043
0.060000000000000005,140,-16.576879179008646
0.060000000000000005,142,-16.576879179191558
0.060000000000000005,144,-16.576879179369364
0.060000000000000005,146,-16.57687917954234
0.060000000000000005,148,-16.5768791797106
0.060000000000000005,150,-16.57687917987444
0.060000000000000005,152,-16.576879180033924
0.060000000000000005,154,-16.576879180189266
0.060000000000000005,156,-16.57687918034064
0.060000000000000005,158,-16.576879180488184
0.060000000000000005,160,-16.576879180632023
0.060000000000000005,162,-16.57687918077232
0.060000000000000005,164,-16.576879180909145
0.060000000000000005,166,-16.576879181042756
0.060000000000000005,168,-16.57687918117313
0.060000000000000005,170,-16.576879181300466
0.060000000000000005,172,-16.576879181424836
0.060000000000000005,174,-16.576879181546317
0.060000000000000005,176,-16.57687918166507
0.060000000000000005,178,-16.576879181781106
0.060000000000000005,180,-16.576879181894668
0.060000000000000005,182,-16.576879182005637
0.060000000000000005,184,-16.57687918211423
0.060000000000000005,186,-16.576879182220452
0.060000000000000005,188,-16.57687918232447
0.060000000000000005,190,-16.57687918242624
0.060000000000000005,192,-16.576879182525985
0.060000000000000005,194,-16.57687918262358
0.060000000000000005,196,-16.5768791827192
0.060000000000000005,198,-16.576879182812878
0.060000000000000005,200,-16.576879182904733
0.06999999999999999,2,-14.181041568010379
0.06999999999999999,4,-14.181045849865537
0.06999999999999999,6,-14.181047277142806
0.06999999999999999,8,-14.181047990779962
0.06999999999999999,10,-14.18104841896181
0.06999999999999999,12,-14.181048704416176
0.06999999999999999,14,-14.181048908312045
0.06999999999999999,16,-14.181049061233908
0.06999999999999999,18,-14.181049180173128
0.06999999999999999,20,-14.181049275324455
0.06999999999999999,22,-14.181049353175498
0.06999999999999999,24,-14.181049418051389
0.06999999999999999,26,-14.18104947294635
0.06999999999999999,28,-14.18104951999924
0.06999999999999999,30,-14.181049560778321
0.06999999999999999,32,-14.181049596460062
0.06999999999999999,34,-14.18104962794393
0.06999999999999999,36,-14.181049655929574
0.06999999999999999,38,-14.181049680969412
0.06999999999999999,40,-14.181049703505263
0.06999999999999999,42,-14.181049723894755
0.06999999999999999,44,-14.181049742430748
0.06999999999999999,46,-14.181049759354886
0.06999999999999999,48,-14.181049774868626
0.06999999999999999,50,-14.181049789141358
0.06999999999999999,52,-14.181049802316108
0.06999999999999999,54,-14.181049814514994
0.06999999999999999,56,-14.181049825842502
0.06999999999999999,58,-14.181049836388832
0.06999999999999999,60,-14.181049846232062
0.06999999999999999,62,-14.181049855440252
0.06999999999999999,64,-14.181049864072927
0.06999999999999999,66,-14.181049872182426
0.06999999999999999,68,-14.181049879814852
0.06999999999999999,70,-14.181049887011175
0.06999999999999999,72,-14.181049893807693
0.06999999999999999,74,-14.181049900236829
0.06999999999999999,76,-14.181049906327564
0.06999999999999999,78,-14.181049912105982
0.06999999999999999,80,-14.181049917595505
0.06999999999999999,82,-14.181049922817154
0.06999999999999999,84,-14.181049927790259
0.06999999999999999,86,-14.181049932532014
0.06999999999999999,88,-14.181049937058214
0.06999999999999999,90,-14.181049941383266
0.06999999999999999,92,-14.181049945520286
0.06999999999999999,94,-14.181049949481272
0.06999999999999999,96,-14.181049953277178
0.06999999999999999,98,-14.181049956918214
0.06999999999999999,100,-14.18104996041352
0.06999999999999999,102,-14.181049963771807
0.06999999999999999,104,-14.181049967000888
0.06999999999999999,106,-14.181049970108184
0.06999999999999999,108,-14.181049973100345
0.06999999999999999,110,-14.18104997598368
0.06999999999999999,112,-14.181049978764117
0.06999999999999999,114,-14.181049981446945
0.06999999999999999,116,-14.18104998403726
0.06999999999999999,118,-14.181049986539787
0.06999999999999999,120,-14.181049988958879
0.06999999999999999,122,-14.18104999129865
0.06999999999999999,124,-14.181049993562993
0.06999999999999999,126,-14.181049995755412
0.06999999999999999,128,-14.181049997879303
0.06999999999999999,130,-14.181049999937832
0.06999999999999999,132,-14.181050001934036
0.06999999999999999,134,-14.181050003870634
0.06999999999999999,136,-14.1810500057503
0.06999999999999999,138,-14.181050007575402
0.06999999999999999,140,-14.18105000934845
0.06999999999999999,142,-14.181050011071482
0.06999999999999999,144,-14.181050012746688
0.06999999999999999,146,-14.181050014375971
0.06999999999999999,148,-14.18105001596126
0.06999999999999999,150,-14.181050017504244
0.06999999999999999,152,-14.181050019006626
0.06999999999999999,154,-14.181050020469977
0.06999999999999999,156,-14.18105002189583
0.06999999999999999,158,-14.181050023285543
0.06999999999999999,160,-14.181050024640545
0.06999999999999999,162,-14.181050025962147
0.06999999999999999,164,-14.18105002725146
0.06999999999999999,166,-14.181050028509668
0.06999999999999999,168,-14.181050029737971
0.06999999999999999,170,-14.181050030937348
0.06999999999999999,172,-14.181050032108848
0.06999999999999999,174,-14.181050033253399
0.06999999999999999,176,-14.181050034371948
0.06999999999999999,178,-14.181050035465361
0.06999999999999999,180,-14.181050036534453
0.06999999999999999,182,-14.181050037580112
0.06999999999999999,184,-14.181050038602999
0.06999999999999999,186,-14.181050039603846
0.06999999999999999,188,-14.181050040583491
0.06999999999999999,190,-14.181050041542454
0.06999999999999999,192,-14.181050042481434
0.06999999999999999,194,-14.181050043401077
0.06999999999999999,196,-14.181050044301942
0.06999999999999999,198,-14.18105004518459
0.06999999999999999,200,-14.181050046049577
0.08,2,-12.380452974716402
0.08,4,-12.380475687523695
0.08,6,-12.38048325824294
0.08,8,-12.380487043561955
0.08,10,-12.3804893147404
0.08,12,-12.380490828853949
0.08,14,-12.380491910360949
0.08,16,-12.380492721489789
0.08,18,-12.380493352366884
0.08,20,-12.380493857068027
0.08,22,-12.380494270004966
0.08,24,-12.380494614118827
0.08,26,-12.380494905291961
0.08,28,-12.380495154868774
0.08,30,-12.380495371168578
0.08,32,-12.38049556043083
0.08,34,-12.380495727426917
0.08,36,-12.380495875867807
0.08,38,-12.380496008683295
0.08,40,-12.380496128217217
0.08,42,-12.380496236366934
0.08,44,-12.380496334684864
0.08,46,-12.380496424453376
0.08,48,-12.380496506741148
0.08,50,-12.38049658244591
0.08,52,-12.380496652327189
0.08,54,-12.38049671703209
0.08,56,-12.380496777115198
0.08,58,-12.380496833054668
0.08,60,-12.380496885264789
0.08,62,-12.380496934106535
0.08,64,-12.380496979895684
0.08,66,-12.380497022909696
0.08,68,-12.380497063393456
0.08,70,-12.380497101563897
0.08,72,-12.380497137613732
0.08,74,-12.380497171714921
0.08,76,-12.380497204021323
0.08,78,-12.380497234670992
0.08,80,-12.380497263788182
0.08,82,-12.380497291484978
0.08,84,-12.380497317862934
0.08,86,-12.380497343013966
0.08,88,-12.380497367021752
0.08,90,-12.380497389962564
0.08,92,-12.38049741190594
0.08,94,-12.380497432915554
0.08,96,-12.380497453049772
0.08,98,-12.380497472362155
0.08,100,-12.380497490902076
0.08,102,-12.380497508714923
0.08,104,-12.380497525842674
0.08,106,-12.380497542324086
0.08,108,-12.38049755819505
0.08,110,-12.380497573488888
0.08,112,-12.380497588236555
0.08,114,-12.380497602466779
0.08,116,-12.380497616206243
0.08,118,-12.380497629479972
0.08,120,-12.38049764231128
0.08,122,-12.380497654721866
0.08,124,-12.380497666732126
0.08,126,-12.380497678361085
0.08,128,-12.380497689626656
0.08,130,-12.380497700545572
0.08,132,-12.380497711133618
0.08,134,-12.380497721405622
0.08,136,-12.380497731375518
0.08,138,-12.380497741056407
0.08,140,-12.380497750460659
0.08,142,-12.380497759600111
0.08,144,-12.380497768485599
0.08,146,-12.380497777127653
0.08,148,-12.380497785536186
0.08,150,-12.380497793720437
0.08,152,-12.380497801689334
0.08,154,-12.380497809451265
0.08,156,-12.38049781701418
0.08,158,-12.380497824385603
0.08,160,-12.380497831572722
0.08,162,-12.380497838582428
0.08,164,-12.380497845421159
0.08,166,-12.380497852095079
0.08,168,-12.380497858610068
0.08,170,-12.38049786497177
0.08,172,-12.38049787118561
0.08,174,-12.380497877256527
0.08,176,-12.380497883189486
0.08,178,-12.380497888989098
0.08,180,-12.380497894659829
0.08,182,-12.380497900205988
0.08,184,-12.380497905631538
0.08,186,-12.380497910940392
0.08,188,-12.38049791613631
0.08,190,-12.38049792122286
0.08,192,-12.380497926203425
0.08,194,-12.380497931081294
0.08,196,-12.380497935859601
0.08,198,-12.38049794054141
0.08,200,-12.380497945129582
0.09,2,-10.97665136041196
0.09,4,-10.97673368959612
0.09,6,-10.976761129856838
0.09,8,-10.976774849462117
0.09,10,-10.976783081057272
0.09,12,-10.976788568717387
0.09,14,-10.976792488440298
0.09,16,-10.976795428213737
0.09,18,-10.97679771469308
0.09,20,-10.976799543869562
0.09,22,-10.976801040463855
0.09,24,-10.976802287622599
0.09,26,-10.976803342908523
0.09,28,-10.976804247437627
0.09,30,-10.97680503136165
0.09,32,-10.976805717294228
0.09,34,-10.976806322528116
0.09,36,-10.976806860513229
0.09,38,-10.976807341867886
0.09,40,-10.9768077750867
0.09,42,-10.976808167046281
0.09,44,-10.976808523372917
0.09,46,-10.976808848714418
0.09,48,-10.976809146943982
0.09,50,-10.97680942131501
0.09,52,-10.976809674580444
0.09,54,-10.976809909085386
0.09,56,-10.97681012683987
0.09,58,-10.976810329576734
0.09,60,-10.97681051879773
0.09,62,-10.976810695810876
0.09,64,-10.976810861760622
0.09,66,-10.976811017652802
0.09,68,-10.976811164374787
0.09,70,-10.976811302712619
0.09,72,-10.97681143336497
0.09,74,-10.976811556955026
0.09,76,-10.976811674040299
0.09,78,-10.976811785121193
0.09,80,-10.976811890648012
0.09,82,-10.976811991027137
0.09,84,-10.976812086626335
0.09,86,-10.97681217777902
0.09,88,-10.976812264788395
0.09,90,-10.976812347930652
0.09,92,-10.976812427458025
0.09,94,-10.976812503601248
0.09,96,-10.976812576571835
0.09,98,-10.976812646563996
0.09,100,-10.976812713756503
0.09,102,-10.976812778313963
0.09,104,-10.97681284038846
0.09,106,-10.976812900120503
0.09,108,-10.976812957640272
0.09,110,-10.976813013068352
0.09,112,-10.976813066516884
0.09,114,-10.976813118090021
0.09,116,-10.976813167884776
0.09,118,-10.976813215991546
0.09,120,-10.97681326249478
0.09,122,-10.976813307473314
0.09,124,-10.976813351000906
0.09,126,-10.976813393146664
0.09,128,-10.976813433975373
0.09,130,-10.976813473547827
