delta,S,n_zero_crossings,action_structure,zero_crossings,H_at_left_boundary,H_at_right_boundary
0.02,170,0,no_zero_all_positive,NA,1.4942367685823639,0.004864886107017297
0.02,172,0,no_zero_all_positive,NA,1.4942367830866399,0.004921956116626713
0.02,174,0,no_zero_all_positive,NA,1.4942367972574848,0.004979022324619331
0.02,176,0,no_zero_all_positive,NA,1.4942368111062647,0.005036084731374624
0.02,178,0,no_zero_all_positive,NA,1.4942368246438371,0.00509314333727251
0.02,180,0,no_zero_all_positive,NA,1.4942368378805746,0.005150198142692908
0.02,182,0,no_zero_all_positive,NA,1.4942368508263946,0.005207249148015292
0.02,184,0,no_zero_all_positive,NA,1.494236863490784,0.005264296353619358
0.02,186,0,no_zero_all_positive,NA,1.4942368758828213,0.00532133975988458
0.02,188,0,no_zero_all_positive,NA,1.4942368880111982,0.0053783793671906555
0.02,190,0,no_zero_all_positive,NA,1.4942368998842412,0.005435415175917058
0.02,192,0,no_zero_all_positive,NA,1.4942369115099297,0.005492447186443261
0.02,194,0,no_zero_all_positive,NA,1.4942369228959125,0.005549475399148518
0.02,196,0,no_zero_all_positive,NA,1.4942369340495292,0.005606499814412302
0.02,198,0,no_zero_all_positive,NA,1.49423694497782,0.005663520432613645
0.02,200,0,no_zero_all_positive,NA,1.494236955687545,0.005720537254132241
0.03,2,0,no_zero_all_positive,NA,1.363735172208706,5.739454077158257e-5
0.03,4,0,no_zero_all_positive,NA,1.3637881805082506,1.1478524745345275e-4
0.03,6,0,no_zero_all_positive,NA,1.3638058506682782,1.7217212042996977e-4
0.03,8,0,no_zero_all_positive,NA,1.3638146858845817,2.2955516008504873e-4
0.03,10,0,no_zero_all_positive,NA,1.363819987057977,2.8693436680304885e-4
0.03,12,0,no_zero_all_positive,NA,1.3638235211917467,3.443097409676632e-4
0.03,14,0,no_zero_all_positive,NA,1.363826045581912,4.0168128296302896e-4
0.03,16,0,no_zero_all_positive,NA,1.3638279388794032,4.590489931728392e-4
0.03,18,0,no_zero_all_positive,NA,1.3638294114470026,5.164128719814531e-4
0.03,20,0,no_zero_all_positive,NA,1.3638305895029,5.737729197723418e-4
0.03,22,0,no_zero_all_positive,NA,1.3638315533680174,6.311291369291983e-4
0.03,24,0,no_zero_all_positive,NA,1.363832356589775,6.884815238359376e-4
0.03,26,0,no_zero_all_positive,NA,1.3638330362395408,7.45830080876031e-4
0.03,28,0,no_zero_all_positive,NA,1.3638336187969111,8.031748084333934e-4
0.03,30,0,no_zero_all_positive,NA,1.3638341236802844,8.605157068912739e-4
0.03,32,0,no_zero_all_positive,NA,1.3638345654534794,9.178527766333655e-4
0.03,34,0,no_zero_all_positive,NA,1.3638349552535463,9.751860180431393e-4
0.03,36,0,no_zero_all_positive,NA,1.3638353017426432,0.0010325154315038443
0.03,38,0,no_zero_all_positive,NA,1.3638356117593218,0.0010898410173989515
0.03,40,0,no_zero_all_positive,NA,1.3638358907744283,0.0011471627761117098
0.03,42,0,no_zero_all_positive,NA,1.3638361432167456,0.0012044807080255904
0.03,44,0,no_zero_all_positive,NA,1.3638363727098257,0.001261794813523398
0.03,46,0,no_zero_all_positive,NA,1.363836582247039,0.001319105092988604
0.03,48,0,no_zero_all_positive,NA,1.3638367743228637,0.0013764115468042348
0.03,50,0,no_zero_all_positive,NA,1.3638369510326593,0.0014337141753530958
0.03,52,0,no_zero_all_positive,NA,1.363837114149426,0.0014910129790186577
0.03,54,0,no_zero_all_positive,NA,1.3638372651834976,0.0015483079581835035
0.03,56,0,no_zero_all_positive,NA,1.3638374054294449,0.0016055991132306602
