delta,S,nu_min,H_at_nu_min,H_at_minus_10,H_at_plus_10,H_left_boundary,H_right_boundary
0.04,167,NA,NA,1.2194035122060687,0.004779273963739783,NA,1.4865919468748106
0.04,172,NA,NA,1.2194035491181483,0.004921956116626713,NA,1.486597423937144
0.04,177,NA,NA,1.2194035839448014,0.005064614509407095,NA,1.4866025915929446
0.04,182,NA,NA,1.2194036168579034,0.005207249148015292,NA,1.4866074753401846
0.04,187,NA,NA,1.2194036480109471,0.005349860038383891,NA,1.4866120979500475
0.04,192,NA,NA,1.2194036775414376,0.005492447186443261,NA,1.4866164798219448
0.04,197,NA,NA,1.2194037055729197,0.005635010598122214,NA,1.4866206392844747
0.05,2,NA,NA,1.0592954499363036,5.739454077158257e-5,NA,1.4050653622345988
0.05,7,NA,NA,1.05937117707978,2.0086411939868043e-4,NA,1.4161740943134404
0.05,12,NA,NA,1.0593837989193446,3.443097409676632e-4,NA,1.4180396575384902
0.05,17,NA,NA,1.0593889962012988,4.8773141147839816e-4,NA,1.4188090116764394
0.05,22,NA,NA,1.0593918310956163,6.311291369289762e-4,NA,1.4192289502866218
0.05,27,NA,NA,1.059393616033874,7.74502923316156e-4,NA,1.4194934615134711
0.05,32,NA,NA,1.059394843181077,9.178527766333655e-4,NA,1.4196753602663126
0.05,37,NA,NA,1.0593957386679802,0.0010611787028731445,NA,1.4198081215179732
0.05,42,NA,NA,1.0593964209443432,0.0012044807080255904,NA,1.4199092867264222
0.05,47,NA,NA,1.0593969580559033,0.00134775879807858,NA,1.419988935807151
0.05,52,NA,NA,1.059397391877024,0.0014910129790186577,NA,1.420053273150129
0.05,57,NA,NA,1.0593977495893412,0.0016342432568297038,NA,1.420106326865687
0.05,62,NA,NA,1.0593980496062374,0.001777449637494044,NA,1.420150826057471
0.05,67,NA,NA,1.0593983048445754,0.0019206321269913396,NA,1.4201886853939611
0.05,72,NA,NA,1.059398524633205,0.0020637907313003634,NA,1.4202212878265437
0.05,77,NA,NA,1.0593987158779024,0.002206925456397224,NA,1.4202496571838754
0.05,82,NA,NA,1.059398883800111,0.0023500363082555875,NA,1.4202745676360693
0.05,87,NA,NA,1.059399032420944,0.0024931232928482316,NA,1.4202966154205585
0.05,92,NA,NA,1.059399164887359,0.0026361864161450477,NA,1.4203162671837406
0.05,97,NA,NA,1.0593992836974613,0.0027792256841141505,NA,1.4203338933744267
0.05,102,NA,NA,1.059399390859528,0.0029222411027218786,NA,1.4203497918174448
0.05,107,NA,NA,1.0593994880064594,0.00306523267793235,NA,1.4203642046789606
0.05,112,NA,NA,1.0593995764795678,0.003208200415707907,NA,1.4203773308882504
0.05,117,NA,NA,1.0593996573908797,0.00335114432200867,NA,1.4203893353749089
0.05,122,NA,NA,1.0593997316701238,0.0034940644027932066,NA,1.4204003560349512
0.05,127,NA,NA,1.059399800100614,0.003636960664017419,NA,1.420410509051616
0.05,132,NA,NA,1.0593998633469817,0.0037798331116354333,NA,1.4204198930070628
0.05,137,NA,NA,1.0593999219768298,0.003922681751600043,NA,1.4204285920938178
